molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,assay_chembl_id,assay_description,target_chembl_id,target_pref_name,target_organism,standard_units_norm,IC50_nM,pIC50
CHEMBL2234325,Cc1ccccc1SC1=C(O)CC(COc2ccc3ccccc3c2)(c2ccccc2)OC1=O,IC50,61.0,7.21,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,61.0,7.214670164989233
CHEMBL2234324,O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1,IC50,126.0,6.9,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,126.0,6.899629454882437
CHEMBL2234323,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1SCc1ccccc1,IC50,128.0,6.89,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,128.0,6.892790030352131
CHEMBL2234322,CCOc1ccc(OCC)c(SC2=C(O)CC(COc3cccc4ccccc34)(c3ccccc3)OC2=O)c1,IC50,3.5,8.46,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,3.5,8.455931955649724
CHEMBL2234321,Cc1ccc(C)c(SC2=C(O)CC(COc3cccc4ccccc34)(c3ccccc3)OC2=O)c1,IC50,126.0,6.9,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,126.0,6.899629454882437
CHEMBL2234384,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,IC50,59.0,7.23,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,59.0,7.229147988357855
CHEMBL2234383,CCc1ccccc1SC1=C(O)CC(COc2cccc3ccccc23)(c2ccccc2)OC1=O,IC50,100.0,7.0,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,100.0,7.0
CHEMBL2234382,Cc1ccccc1SC1=C(O)CC(COc2cccc3ccccc23)(c2ccccc2)OC1=O,IC50,64.0,7.19,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,64.0,7.1938200260161125
CHEMBL2234381,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1Sc1ccccc1,IC50,159.0,6.8,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,159.0,6.798602875679549
CHEMBL2234380,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1SCc1ccccc1,IC50,32.0,7.5,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,32.0,7.494850021680094
CHEMBL2234379,CCOc1ccc(OCC)c(SC2=C(O)CC(CSc3ccccc3)(c3ccccc3)OC2=O)c1,IC50,24.0,7.62,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,24.0,7.619788758288394
CHEMBL2234337,Cc1ccc(C)c(SC2=C(O)CC(CSc3ccccc3)(c3ccccc3)OC2=O)c1,IC50,196.0,6.71,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,196.0,6.707743928643524
CHEMBL2234336,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,IC50,70.0,7.16,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,70.0,7.154901959985743
CHEMBL2234335,CCc1ccccc1SC1=C(O)CC(CSc2ccccc2)(c2ccccc2)OC1=O,IC50,238.0,6.62,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,238.0,6.623423042943488
CHEMBL2234334,Cc1ccccc1SC1=C(O)CC(CSc2ccccc2)(c2ccccc2)OC1=O,IC50,240.0,6.62,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,240.0,6.619788758288394
CHEMBL2234333,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1Sc1ccccc1,IC50,258.0,6.59,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,258.0,6.58838029403677
CHEMBL2234332,O=C(O)CCCCC1(CCc2ccccc2)CC(O)=C(SCCc2ccccc2)C(=O)O1,IC50,5.0,8.3,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5.0,8.301029995663981
CHEMBL2234331,Cc1ccc(C(C)C)c(SC2=C(O)CC(CCc3ccccc3)(C(C)C)OC2=O)c1,IC50,1.1,8.96,CHEMBL3047383,Inhibition of Human immunodeficiency virus 1 protease using Lys-Ala-Arg-Val-Leu-Phe(NO2)-Glu-Ala-Met as substrate,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,1.1,8.958607314841775
CHEMBL2297021,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)C42)N[C@@H](Cc1c[nH]cn1)C(=O)O,IC50,60000.0,,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,60000.0,4.221848749616356
CHEMBL2297022,O=C(O)[C@@H]1CCCN1C(=O)CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N1CCC[C@H]1C(=O)O)C42,IC50,60000.0,,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,60000.0,4.221848749616356
CHEMBL2297025,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C42)N[C@@H](Cc1ccc(O)cc1)C(=O)O,IC50,10000.0,5.0,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL2297024,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)O)C42)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,IC50,5000.0,5.3,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5000.0,5.301029995663981
CHEMBL2297023,NC(=O)[C@@H]1CCCN1C(=O)CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N1CCC[C@H]1C(N)=O)C42,IC50,60000.0,,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,60000.0,4.221848749616356
CHEMBL2297026,O=C(O)CN(Cc1ccccc1)C(=O)CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N(CC(=O)O)Cc1ccccc1)C42,IC50,60000.0,,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,60000.0,4.221848749616356
CHEMBL2297027,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@H](C(=O)O)c1ccccc1)C42)N[C@H](C(=O)O)c1ccccc1,IC50,5000.0,5.3,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5000.0,5.301029995663981
CHEMBL2297028,CC(C)[C@H](NC(=O)CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@H](C(=O)O)C(C)C)C42)C(=O)O,IC50,10000.0,5.0,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,10000.0,5.0
CHEMBL2297029,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C42)N[C@@H](Cc1ccccc1)C(=O)O,IC50,60000.0,,CHEMBL3072691,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease using chromogenic peptide H-1048 as substrate by UV spectrophotometric analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,60000.0,4.221848749616356
CHEMBL2297030,CC(C)[C@H](NC12OC3(O)C4C5CC(C6C5C3C61)C42)C(=O)N[C@@H](C)C(=O)O,IC50,600.0,6.22,CHEMBL3072693,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,600.0,6.221848749616356
CHEMBL2297031,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42)C(=O)N[C@@H](CO)C(=O)O,IC50,78.0,7.11,CHEMBL3072693,Inhibition of wild type C-South African Human immunodeficiency virus 1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,78.0,7.107905397309519
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,IC50,9850.0,5.01,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,9850.0,5.006563769502389
CHEMBL2349226,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,29550.0,4.53,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,29550.0,4.529442514782726
CHEMBL2349225,CCOc1cccc2cc(CN(Cc3ccccc3)C(=O)CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,IC50,27290.0,4.56,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,27290.0,4.563996464330104
CHEMBL2349224,COc1cccc2cc(CN(Cc3ccccc3)C(=O)CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,IC50,22700.0,4.64,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,22700.0,4.6439741428068775
CHEMBL2349223,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5cc(Br)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,32040.0,4.49,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,32040.0,4.4943074925878
CHEMBL2349222,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5ccccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,35060.0,4.46,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,35060.0,4.455188088242224
CHEMBL2349088,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,24810.0,4.61,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,24810.0,4.605373235727791
CHEMBL2349087,CCOc1cccc2cc(CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,IC50,23350.0,4.63,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,23350.0,4.631713115097869
CHEMBL2349086,COc1cccc2cc(CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,IC50,21600.0,4.67,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,21600.0,4.665546248849069
CHEMBL2349085,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5cc(Br)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,28910.0,4.54,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,28910.0,4.538951908329342
CHEMBL2349084,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5ccccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,IC50,27060.0,4.57,CHEMBL2349708,Inhibition of HIV1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,27060.0,4.567672207738396
CHEMBL3093182,CCCC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,IC50,30.7,7.51,CHEMBL3094814,Inhibition of HIV-1 NL4-3 wild type protease expressed in Escherichia coli preincubated for 20 mins by FRET analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30.7,7.512861624522813
CHEMBL3093183,CCCC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,IC50,2.6,8.59,CHEMBL3094814,Inhibition of HIV-1 NL4-3 wild type protease expressed in Escherichia coli preincubated for 20 mins by FRET analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2.6,8.585026652029182
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,IC50,2.5,8.6,CHEMBL3094814,Inhibition of HIV-1 NL4-3 wild type protease expressed in Escherichia coli preincubated for 20 mins by FRET analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2.5,8.602059991327963
CHEMBL104538,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N1CCCNC1=O,IC50,2.1,8.68,CHEMBL3094814,Inhibition of HIV-1 NL4-3 wild type protease expressed in Escherichia coli preincubated for 20 mins by FRET analysis,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2.1,8.67778070526608
CHEMBL3114739,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)NC(Cc2ccccc2)CN(Cc2ccccc2)C(=O)OCc2cncs2)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114739,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)NC(Cc2ccccc2)CN(Cc2ccccc2)C(=O)OCc2cncs2)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114738,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114735,CC(C)CN(CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)[C@H](CCN1CCOCC1)NC(=O)N(C)Cc1csc(C(C)C)n1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114734,CC(C)CN(CC[C@H](Cc1ccccc1)NC(=O)[C@H](CCN1CCOCC1)NC(=O)N(C)Cc1csc(C(C)C)n1)C(=O)OCc1cncs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114733,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CCN(Cc2ccccc2Cl)C(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114732,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CCN(Cc2ccc(Cl)cc2)C(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114731,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114729,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N(CCCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,21000.0,4.68,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,21000.0,4.6777807052660805
CHEMBL3114726,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCN(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,30.0,7.52,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30.0,7.522878745280337
CHEMBL3114725,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCNNC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,8800.0,5.06,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,8800.0,5.055517327849831
CHEMBL3114724,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N(CCCCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,22700.0,4.64,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,22700.0,4.6439741428068775
CHEMBL3114722,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114720,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](C)CC[C@H](C)NC(=O)OCc2cncs2)C(C)C)cs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114719,CC[C@@H](CC[C@H](CC)NC(=O)[C@@H](NC(=O)N(C)Cc1csc(C(C)C)n1)C(C)C)NC(=O)OCc1cncs1,IC50,30000.0,,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3114713,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,IC50,5.0,8.3,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,5.0,8.301029995663981
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,IC50,0.6,9.22,CHEMBL3117305,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,0.6,9.221848749616356
CHEMBL3115191,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115190,O=C(N[C@@H](CC[C@@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)N(Cc1cncs1)C1CC1)Cc1ccccc1)OCc1cncs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115189,CC(C)[C@H](NC(=O)N(C)Cc1cscn1)C(=O)N[C@@H](CC[C@@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115188,CC(=O)NCC[C@H](NC(=O)N(C)Cc1csc(C(C)C)n1)C(=O)N[C@@H](CC[C@@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115187,CC(C)c1nc(CN(C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115186,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cn2cccn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30.0,7.52,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30.0,7.522878745280337
CHEMBL3115185,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2cn(C)cn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115184,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,3000.0,5.52,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,3000.0,5.522878745280337
CHEMBL3115183,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCNS(C)(=O)=O)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,8000.0,5.1,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,8000.0,5.096910013008056
CHEMBL3115182,CC(=O)NCC[C@H](NC(=O)N(C)Cc1csc(C(C)C)n1)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,IC50,2000.0,5.7,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,2000.0,5.698970004336019
CHEMBL3115181,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
CHEMBL3115180,CC(C)c1nc(CN(C)C(=O)N[C@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,IC50,30000.0,,CHEMBL3117564,Inhibition of HIV-1 protease,CHEMBL2366517,Protease,Human immunodeficiency virus 1,nM,30000.0,4.522878745280337
